9,01110
10,00101
32,000
33,101110000
34,10001110
35,1111100
36,00110001010010
37,0011000100
38,111110110
39,10111100
40,100000
41,011111
42,11010
43,001100111
44,1000010
45,1111111
46,1011111
47,111000
48,0100101
49,1000110
50,10100111
51,100001100
52,010011111
53,010011110
54,100011111
55,0100100010
56,11111010
57,1000011011
58,10100101
59,101010
60,010011101
61,111101
62,010010000
63,001100010101
65,11111100
66,11100100
67,001100001
68,010011001
69,00110010
70,1000011010
71,100011110
72,1011100010
73,01001001
74,0011000101000
75,1110010100
76,101110111
77,001100000
78,101110110
79,101001101
80,111110111
82,11111101
83,00110110
84,10111101
85,010011000
86,01001110000
87,00110001011
88,0100100011
90,0100111001
91,001100110
92,111001011
93,001100011
94,00110001010011
95,111100
97,10010
98,101101
99,11101
100,11011
101,0110
102,10011
103,0011010
104,101100
105,00100
106,1011100011
107,00110111
108,011110
109,101011
110,01010
111,01000
112,100010
113,1110010101
114,01011
115,00111
116,1100
117,101000
118,01001101
119,10100100
120,1110011
121,10000111
122,101001100
123,10111001
124,01001110001
125,10111010
