9,1011
10,00100
32,11
33,100111011
34,00000100101
35,00000100100
36,000101010110
38,00010010
39,100100
40,011110
41,011101
42,000000
43,0011101
44,00010100
45,00101100
46,001010000
47,0001000
48,0111111
49,00111111
50,0000011100
51,0011110000
52,0010101111
53,00000100111
54,00101000101
55,0101111011
56,100101000010
57,011111001
58,10011100
59,011011
60,010111100
61,011010
62,00111101
63,0001010101110
65,100111010
66,0101111010
67,0010101110
68,000001011
69,000101011
70,00111110
71,00010101010
72,0011110001
73,0001010100
75,1001010101
76,0011100
77,00101000100
78,01111101
79,000001111
80,0010100011
81,010111111
82,100101011
83,00101001
84,001010110
85,00101101
86,00010101011111
87,100101000001
88,100101000011
90,100101000000
91,1001010100
92,000001000
93,1001010001
95,00000110
96,00010101011110
97,000011
98,00010011
99,011100
100,000010
101,0100
102,00110
103,1001111
104,0001011
105,1010
107,000001010
108,00011
109,0101110
110,10000
111,010110
112,0010111
113,0000011101
114,01010
115,10001
116,01100
117,100110
118,011111000
119,100101001
120,00101010
121,00000100110
122,010111110
123,10010111
124,001111001
125,10010110
